acc,org,hit_len,ident_local,ident_qfull,cov,evalue,bits
WP_227364879,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,550.051
WP_395649356,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,549.666
WP_227398039,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,549.28
WP_235753026,Planktothrix agardhii,330,79.8,77.2,96.7,0.0,548.51
WP_227381235,Planktothrix agardhii,330,79.8,77.2,96.7,0.0,548.125
WP_235753535,Planktothrix agardhii,330,79.5,76.9,96.7,0.0,546.969
WP_026795605,Planktothrix,330,79.8,77.2,96.7,0.0,546.584
WP_042156020,Planktothrix agardhii,330,79.2,76.6,96.7,0.0,545.814
KEI68585,Planktothrix agardhii NIVA-CYA 126/8,334,79.2,76.6,96.7,0.0,545.428
WP_026785813,Planktothrix,330,79.2,76.6,96.7,0.0,545.043
WP_227358137,Planktothrix agardhii,330,79.2,76.6,96.7,0.0,544.658
WRH66169,Planktothrix sp. GU0601_MAG3,330,78.3,75.7,96.7,0.0,536.184
WP_079679334,Planktothrix sp. PCC 11201,330,78.0,75.4,96.7,0.0,535.413
MFM6899245,Microcystis panniformis,267,96.6,77.5,80.2,0.0,533.487
WP_484693002,Planktothrix sp. PLAVEN19ND,330,77.6,75.1,96.7,0.0,533.487
HAN73362,Planktothrix sp. UBA8402,316,78.8,74.8,94.9,0.0,533.102
MEY3868823,Cyanobacteriota bacterium,326,76.2,74.2,97.3,0.0,533.102
NES99760,Sphaerospermopsis sp. SIO1G1,325,75.2,72.7,96.7,0.0,516.538
WP_335188264,Nostoc sp.,325,73.1,71.2,97.3,0.0,516.538
WP_334843205,Nostoc sp.,325,73.5,71.5,97.3,0.0,516.153
WP_292748982,Nostoc sp. NMS4,325,73.1,71.2,97.3,0.0,516.153
WP_334895435,Nostoc sp.,324,73.1,71.2,97.3,0.0,515.768
RCJ24327,Nostoc minutum NIES-26,325,72.8,70.9,97.3,0.0,514.998
WP_335177732,Nostoc sp.,324,73.1,71.2,97.3,0.0,514.998
WP_193945307,Nostoc sp. LEGE 12450,325,72.2,70.3,97.3,1.24711e-180,513.842
WP_335055754,Nostoc sp.,325,71.8,70.3,97.9,1.56971e-180,513.457
WP_322718327,Nostoc sp. ChiQUE02,325,72.5,70.6,97.3,1.71349e-180,513.457
WP_155748416,Scytonema sp. UIC 10036,332,73.7,71.5,97.0,1.81417e-180,513.457
MBW4596062,Brasilonema angustatum HA4187-MV1,326,72.5,70.6,97.3,2.94119e-180,512.686
WP_480262501,Nostoc sp. LEGE 12454,325,72.5,70.6,97.3,3.34276e-180,512.686
BAZ54036,Nostoc sp. NIES-4103,325,72.4,70.3,97.0,4.74627e-180,512.301
WP_335158752,Nostoc sp.,325,72.2,70.3,97.3,6.03979e-180,511.916
WP_229555182,Nostoc sp. XA010,325,73.3,70.9,96.7,6.45012e-180,511.916
WP_335101646,Nostoc sp.,326,71.9,70.0,97.3,7.62852e-180,511.531
MBW4676489,Desmonostoc geniculatum HA4340-LM1,325,72.8,70.9,97.3,8.03012e-180,511.531
WP_334717538,Nostoc sp.,325,72.5,70.6,97.3,8.29841e-180,511.531
MDF5714872,Rhizonema sp. NSF051,326,73.1,71.2,97.3,9.60176e-180,511.531
WP_334694382,Nostoc sp.,325,72.7,70.3,96.7,1.07939e-179,511.146
WP_104906708,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',325,72.8,70.9,97.3,1.23104e-179,511.146
WP_334927929,Nostoc sp.,325,71.9,70.0,97.3,1.56653e-179,510.76
WP_292846429,Nostoc sp. NMS8,325,72.2,70.3,97.3,1.82619e-179,510.76
WP_190474819,Anabaena azotica,325,71.8,70.3,97.9,1.84631e-179,510.76
WP_335041003,Nostoc sp.,325,72.5,70.6,97.3,2.03762e-179,510.76
WP_461917296,Nostoc sp.,325,72.7,70.3,96.7,2.32388e-179,510.375
WP_334777486,Nostoc sp.,325,71.2,69.7,97.9,3.22806e-179,509.99
WP_334887968,Nostoc sp.,325,72.5,70.6,97.3,3.52373e-179,509.99
WP_017742665,Scytonema hofmannii,330,73.2,70.6,96.4,4.13345e-179,509.99
WP_292780506,unclassified Nostoc,325,72.2,70.3,97.3,4.15304e-179,509.99
WP_334726762,Nostoc sp.,326,71.9,70.0,97.3,4.2133e-179,509.99
WP_335233002,Nostoc sp.,325,71.9,70.0,97.3,4.24504e-179,509.605
WP_335047569,Nostoc sp.,326,71.9,70.0,97.3,4.59921e-179,509.605
MBP5976193,Brasilonema sp. CT11,326,72.2,70.3,97.3,5.02046e-179,509.605
WP_292736183,Nostoc sp. JL31,325,72.4,70.0,96.7,5.22727e-179,509.605
WP_190702528,unclassified Nostoc,326,71.6,69.7,97.3,5.42058e-179,509.605
WP_163927631,unclassified Nostoc,325,72.2,70.3,97.3,5.5824e-179,509.605
WP_334991773,Nostoc sp.,326,71.6,69.7,97.3,6.25019e-179,509.22
WP_335009541,Nostoc sp.,326,71.6,69.7,97.3,8.97201e-179,508.834
ACC80791,Nostoc punctiforme PCC 73102,328,72.5,70.6,97.3,9.54239e-179,508.834
WP_353929460,Okeanomitos corallinicola,326,73.3,70.9,96.7,9.68706e-179,508.834
WP_323232806,Nostoc sp. UHCC 0252,325,72.2,70.3,97.3,1.21508e-178,508.449
WP_335001645,Nostoc sp.,325,71.9,70.0,97.3,1.21508e-178,508.449
WP_041565327,Nostoc punctiforme,325,72.5,70.6,97.3,1.29763e-178,508.449
WP_292720478,unclassified Nostoc,326,71.6,69.7,97.3,1.75022e-178,508.449
WP_198124532,Amazonocrinis nigriterrae,325,71.2,69.1,97.0,2.01117e-178,508.064
WP_229546037,Nostoc sp. CHAB 5836,325,71.9,70.0,97.3,2.10125e-178,508.064
WP_292769912,Nostoc sp. NOS(2021),326,71.6,69.7,97.3,2.17892e-178,508.064
MCP6760186,Fischerella sp. CENA71,325,71.6,69.7,97.3,2.61594e-178,507.679
WP_424094407,Moorena producens,326,69.9,68.5,97.9,2.71263e-178,507.679
WP_334821752,Nostoc sp.,325,71.9,70.0,97.3,2.76322e-178,507.679
WP_482750483,Anabaena sp. TISTR 8404,325,72.8,70.9,97.3,3.0163e-178,507.679
WP_334850177,Nostoc sp.,326,71.6,69.7,97.3,3.30387e-178,507.679
WP_193949839,Nostoc sp. LEGE 12450,325,71.6,69.7,97.3,3.32883e-178,507.679
WP_185581683,unclassified Nostoc,325,71.3,69.4,97.3,4.28264e-178,507.294
WP_323198825,Nostoc sp. UHCC 0251,325,71.9,70.0,97.3,4.67489e-178,507.294
WP_322734670,Nostoc sp. DedQUE12b,325,71.3,69.4,97.3,6.28377e-178,506.908
WP_420761291,Nostoc sp. CALU 546,325,71.9,70.0,97.3,6.49371e-178,506.908
WP_334772589,Nostoc sp.,325,71.9,70.0,97.3,6.93485e-178,506.908
WP_069074220,Nostoc sp. KVJ20,325,71.9,70.0,97.3,7.08845e-178,506.523
WP_073634825,Scytonema sp. HK-05,324,72.0,69.7,96.7,7.22067e-178,506.523
WP_169262875,Brasilonema,326,71.3,69.4,97.3,8.38295e-178,506.523
NEO97833,Symploca sp. SIO2E9,326,70.5,68.2,96.7,9.87998e-178,506.523
WP_334802371,Nostoc sp.,326,71.3,69.4,97.3,1.02101e-177,506.523
WP_334950107,Nostoc sp.,325,71.6,69.7,97.3,1.0631e-177,506.138
WP_293096439,Moorena sp. SIOASIH,326,70.6,69.1,97.9,1.12679e-177,506.138
WP_323233087,Nostoc sp. UHCC 0252,325,71.6,69.7,97.3,1.13532e-177,506.138
WP_273770771,Nostoc sp. UHCC 0926,325,71.6,69.7,97.3,1.16047e-177,506.138
WP_334880396,Nostoc sp.,325,71.9,70.0,97.3,1.16047e-177,506.138
WP_002771814,Microcystis aeruginosa,325,72.4,70.3,97.0,1.29481e-177,506.138
WP_334785366,Nostoc sp.,326,71.6,69.7,97.3,1.32801e-177,506.138
WP_094347208,Nostoc sp. 'Peltigera membranacea cyanobiont' 210A,325,71.6,69.7,97.3,1.3528e-177,506.138
WP_292811056,unclassified Nostoc,325,71.4,69.1,96.7,1.398e-177,506.138
WP_194006129,aff. Roholtiella sp. LEGE 12411,326,70.8,68.5,96.7,1.43385e-177,506.138
WP_099099191,Nostoc sp. 'Peltigera malacea cyanobiont' DB3992,325,71.6,69.7,97.3,1.46062e-177,505.753
HEY9802771,Leptolyngbyaceae cyanobacterium,325,70.9,69.4,97.9,1.49297e-177,505.753
WP_334722925,Nostoc sp.,325,71.6,69.7,97.3,1.7027e-177,505.753
MBW4428102,Nostoc desertorum CM1-VF14,325,71.6,69.7,97.3,1.85865e-177,505.753
WP_179064391,Nostoc sp. C052,325,71.3,69.4,97.3,1.96329e-177,505.753
QSJ20219,Nostoc sp. UHCC 0702,325,71.5,69.4,97.0,2.11975e-177,505.368
WP_013324781,Gloeothece verrucosa,326,71.2,69.1,97.0,2.2965e-177,505.368
WP_323232511,Nostoc sp. UHCC 0252,325,72.4,70.0,96.7,2.33938e-177,505.368
MCC5655262,Nostoc sp. XA013,325,71.6,69.7,97.3,2.6102e-177,505.368
MBU7585867,Nostoc sp. TH1S01,325,71.7,69.4,96.7,2.75714e-177,505.368
NEO93391,Moorena sp. SIO3G5,326,69.9,68.5,97.9,2.85897e-177,505.368
NEQ88734,Moorena sp. SIO2I5,327,70.2,68.8,97.9,3.09732e-177,504.982
BAY37593,Nostoc sp. NIES-2111,325,71.0,69.1,97.3,3.28531e-177,504.982
WP_334701608,Nostoc sp.,325,72.0,69.7,96.7,3.39506e-177,504.982
MBE8967341,Nostocales cyanobacterium LEGE 12452,325,71.6,69.7,97.3,3.43245e-177,504.982
WP_251957373,Nostoc commune,324,71.9,70.0,97.3,4.59802e-177,504.597
MEH2068931,Nostoc sp.,329,71.9,70.0,97.3,4.62571e-177,504.982
WP_292701049,unclassified Nostoc,325,71.3,69.4,97.3,5.61928e-177,504.597
WP_322648172,Nostoc sp. ChiVER01,325,71.6,69.7,97.3,6.76945e-177,504.212
WP_335159715,Nostoc sp.,325,71.3,69.4,97.3,8.99995e-177,503.827
WP_193920526,Desmonostoc muscorum,325,71.7,69.4,96.7,9.50662e-177,503.827
WP_333132971,unclassified Microcoleus,325,71.3,69.4,97.3,1.15786e-176,503.442
WP_335040929,Nostoc sp.,325,71.6,69.7,97.3,1.1835e-176,503.442
MBX9254026,Desmonostoc muscorum CCALA 125,325,71.7,69.4,96.7,1.30612e-176,503.442
TAE58241,Nostocales cyanobacterium,326,71.4,69.1,96.7,1.64951e-176,503.442
WP_461897556,Nostoc sp.,326,70.7,68.8,97.3,1.66768e-176,503.442
WP_292804297,Nostoc sp. NMS7,325,71.3,69.4,97.3,2.00222e-176,503.056
RCJ32138,Nostoc punctiforme NIES-2108,325,71.7,69.4,96.7,2.02428e-176,503.056
WP_464102982,Annamia dubia,335,76.1,74.8,98.2,2.1869e-176,503.442
WP_067770613,Nostoc sp. NIES-3756,325,71.0,69.1,97.3,2.49262e-176,502.671
MFN6565579,Nostoc sp. ChiSLP01,325,71.2,69.7,97.9,2.7209e-176,502.671
WP_293120314,Moorena sp. SIO4G3,326,69.3,67.9,97.9,3.1479e-176,502.671
TBR56832,Westiellopsis prolifica IICB1,328,72.0,69.7,96.7,4.64983e-176,502.286
WP_322663227,Dendronalium sp. ChiSLP03b,325,70.7,68.8,97.3,5.08003e-176,501.901
MBD2514381,Nostoc sp. FACHB-973,325,71.4,69.1,96.7,5.42511e-176,501.901
WP_293044652,Moorena sp. SIO1F2,327,69.6,68.2,97.9,5.96196e-176,501.901
WP_190692415,Nostoc sp. FACHB-110,324,71.8,69.7,97.0,7.59295e-176,501.516
WP_096604099,Calothrix sp. NIES-2100,325,70.6,69.1,97.9,1.11782e-175,501.13
WP_335141257,Nostoc sp.,326,70.4,68.5,97.3,1.27913e-175,501.13
MBW4612641,Desmonostoc vinosum HA7617-LM4,324,71.2,69.1,97.0,1.32746e-175,500.745
WP_333367292,Microcoleus sp. N3A4,325,71.3,69.4,97.3,1.45392e-175,500.745
WP_334961702,Nostoc sp.,326,70.7,68.8,97.3,1.45881e-175,500.745
MHN9118882,Neowestiellopsis sp. NC-DW,328,72.0,69.7,96.7,1.60311e-175,500.745
WP_335077354,Nostoc sp.,325,70.7,68.8,97.3,2.20447e-175,500.36
WP_070394962,Moorena producens,326,69.6,68.2,97.9,2.41445e-175,500.36
WP_193897423,Nostoc sp. LEGE 06077,324,72.0,69.7,96.7,2.42469e-175,500.36
WP_138502499,Nostoc sp. PA-18-2419,325,70.6,69.1,97.9,2.7746e-175,499.975
MFM8297754,Microcystis aeruginosa,325,71.5,69.4,97.0,3.81199e-175,499.975
WP_375494844,uncultured Nostoc sp.,326,70.1,68.2,97.3,4.97474e-175,499.59
WP_407888953,Scytonema sp. NUACC26,326,71.8,69.7,97.0,6.83468e-175,499.204
WP_214436680,Dendronalium phyllosphericum,325,71.6,69.7,97.3,7.60037e-175,499.204
WP_008181878,Moorena,326,69.6,68.2,97.9,7.62582e-175,499.204
WP_335169857,Nostoc sp.,326,70.1,68.2,97.3,8.50853e-175,498.819
NEO48927,Moorena sp. SIO4A3,327,69.0,67.6,97.9,1.22539e-174,498.434
MFN6515783,Nostoc sp. CreGUA01,325,70.2,68.8,97.9,1.25791e-174,498.434
WP_335128962,Nostoc sp.,326,70.7,68.8,97.3,1.26211e-174,498.434
WP_322728706,Nostoc sp. ChiQUE01b,323,71.7,69.4,96.7,1.33439e-174,498.434
WP_334731706,Nostoc sp.,326,69.8,67.9,97.3,1.75308e-174,498.049
WP_375511241,uncultured Nostoc sp.,334,71.0,69.1,97.3,1.92215e-174,498.434
WP_413268524,Floridanema aerugineum,330,70.8,68.5,96.7,2.26047e-174,498.049
WP_335059077,Nostoc sp.,326,70.1,68.2,97.3,2.28015e-174,498.049
WP_287294657,Moorena sp. SIO2C4,327,69.3,67.9,97.9,2.87935e-174,497.664
WP_062289145,Nostoc piscinale,324,71.7,69.4,96.7,3.25119e-174,497.278
WP_334966895,Nostoc sp.,325,70.9,69.4,97.9,3.26204e-174,497.278
MCL2934392,Trichodesmium sp. MAG_R03,325,70.3,68.2,97.0,3.56077e-174,497.278
MHM5870038,Phormidium sp. CACIAM07,324,70.6,68.5,97.0,4.04742e-174,497.278
RAM51840,Hapalosiphonaceae cyanobacterium JJU2,328,70.9,68.8,97.0,4.5264e-174,497.278
WP_011318432,Nostocaceae,325,71.1,68.8,96.7,4.89203e-174,496.893
WP_334709207,Nostoc sp.,326,69.8,67.9,97.3,5.72169e-174,496.893
MCC5645805,Nostoc sp. CHAB 5824,326,70.4,68.5,97.3,6.11033e-174,496.893
WP_334793941,Nostoc sp.,325,70.4,68.5,97.3,7.49895e-174,496.508
WP_334908272,Nostoc sp.,325,69.6,68.2,97.9,1.00793e-173,496.123
MBU7585504,Nostoc sp. TH1S01,338,70.8,68.5,96.7,1.17329e-173,496.508
NET58241,Symploca sp. SIO2E6,325,70.7,68.8,97.3,1.1879e-173,496.123
NEP52682,Moorena sp. SIO3C2,326,68.7,67.3,97.9,1.31531e-173,496.123
MGA9379052,Phormidium sp.,326,72.2,70.3,97.0,1.37421e-173,495.738
MCC5634815,Nostoc sp. CHAB 5844,325,69.8,67.9,97.3,1.40001e-173,495.738
WP_323293917,Crocosphaera sp. XPORK-15E,326,69.7,67.6,97.0,1.88797e-173,495.352
WP_335206771,Nostoc sp.,325,70.4,68.5,97.3,2.31705e-173,495.352
WP_190981764,Nostoc sp. FACHB-280,324,71.1,68.8,96.7,2.33482e-173,495.352
WP_287251846,Moorena sp. SIO4E2,327,69.0,67.6,97.9,2.60234e-173,495.352
MIA2635817,Waterburya sp.,326,70.6,68.5,97.0,2.73979e-173,494.967
MCL6750001,Nostoc sp. CCCryo 231-06,325,70.7,68.8,97.3,3.04684e-173,494.967
MBW4431361,Pelatocladus maniniholoensis HA4357-MV3,325,71.2,69.1,97.0,3.14861e-173,494.967
WP_335190712,Nostoc sp.,325,70.7,68.8,97.3,3.43694e-173,494.967
WP_089130961,Tolypothrix sp. NIES-4075,338,71.1,68.8,96.7,4.31871e-173,494.967
WP_322675683,unclassified Nostoc,325,70.4,68.5,97.3,7.15912e-173,494.197
WP_335205514,Nostoc sp.,325,69.9,68.5,97.9,7.98776e-173,493.812
WP_408964695,Planktothrix sp.,325,71.8,69.7,97.0,8.71921e-173,493.812
WP_190569647,Nostoc parmelioides,325,69.3,67.9,97.9,1.52425e-172,493.041
MHT4774601,Lyngbya tropicalis BLCC-M182,329,69.6,67.3,96.7,3.39767e-172,492.656
XWK88460,Phormidium sp.,326,70.0,67.9,97.0,3.83722e-172,492.271
WP_408969627,Planktothrix sp.,325,71.5,69.4,97.0,5.02928e-172,491.886
WP_239730352,Nodularia sphaerocarpa,326,70.1,68.2,97.3,6.42042e-172,491.5
WP_427161143,Aliinostoc sp. HNIBRCY26,326,70.6,68.5,97.0,1.57607e-171,490.73
WP_271922389,Cyanophyceae,326,70.0,67.9,97.0,1.87791e-171,490.345
WYL93605,Gloeotrichia echinulata IR180,342,70.9,68.8,97.0,2.11001e-171,491.115
WP_413262076,Floridanema flaviceps,324,69.6,67.3,96.7,2.82869e-171,489.96
WP_167721282,Tolypothrix sp. PCC 7910,325,70.8,68.5,96.7,3.85633e-171,489.574
WP_063874464,Nodularia spumigena,326,70.0,67.9,97.0,3.86885e-171,489.574
