acc,org,hit_len,ident_local,ident_qfull,cov,evalue,bits
WP_227364879,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,550.051
WP_395649356,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,549.666
WP_227398039,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,549.28
WP_235753026,Planktothrix agardhii,330,79.8,77.2,96.7,0.0,548.51
WP_227381235,Planktothrix agardhii,330,79.8,77.2,96.7,0.0,548.125
WP_235753535,Planktothrix agardhii,330,79.5,76.9,96.7,0.0,546.969
WP_026795605,Planktothrix,330,79.8,77.2,96.7,0.0,546.584
WP_042156020,Planktothrix agardhii,330,79.2,76.6,96.7,0.0,545.814
KEI68585,Planktothrix agardhii NIVA-CYA 126/8,334,79.2,76.6,96.7,0.0,545.428
WP_026785813,Planktothrix,330,79.2,76.6,96.7,0.0,545.043
WP_227358137,Planktothrix agardhii,330,79.2,76.6,96.7,0.0,544.658
WRH66169,Planktothrix sp. GU0601_MAG3,330,78.3,75.7,96.7,0.0,536.184
WP_079679334,Planktothrix sp. PCC 11201,330,78.0,75.4,96.7,0.0,535.413
MFM6899245,Microcystis panniformis,267,96.6,77.5,80.2,0.0,533.487
WP_484693002,Planktothrix sp. PLAVEN19ND,330,77.6,75.1,96.7,0.0,533.487
HAN73362,Planktothrix sp. UBA8402,316,78.8,74.8,94.9,0.0,533.102
MEY3868823,Cyanobacteriota bacterium,326,76.2,74.2,97.3,0.0,533.102
NES99760,Sphaerospermopsis sp. SIO1G1,325,75.2,72.7,96.7,0.0,516.538
WP_335188264,Nostoc sp.,325,73.1,71.2,97.3,0.0,516.538
WP_334843205,Nostoc sp.,325,73.5,71.5,97.3,0.0,516.153
WP_292748982,Nostoc sp. NMS4,325,73.1,71.2,97.3,0.0,516.153
WP_334895435,Nostoc sp.,324,73.1,71.2,97.3,0.0,515.768
RCJ24327,Nostoc minutum NIES-26,325,72.8,70.9,97.3,0.0,514.998
WP_335177732,Nostoc sp.,324,73.1,71.2,97.3,0.0,514.998
WP_193945307,Nostoc sp. LEGE 12450,325,72.2,70.3,97.3,1.24611e-180,513.842
WP_335055754,Nostoc sp.,325,71.8,70.3,97.9,1.56845e-180,513.457
WP_322718327,Nostoc sp. ChiQUE02,325,72.5,70.6,97.3,1.71212e-180,513.457
WP_155748416,Scytonema sp. UIC 10036,332,73.7,71.5,97.0,1.81272e-180,513.457
MBW4596062,Brasilonema angustatum HA4187-MV1,326,72.5,70.6,97.3,2.93884e-180,512.686
WP_480262501,Nostoc sp. LEGE 12454,325,72.5,70.6,97.3,3.34008e-180,512.686
BAZ54036,Nostoc sp. NIES-4103,325,72.4,70.3,97.0,4.74247e-180,512.301
WP_335158752,Nostoc sp.,325,72.2,70.3,97.3,6.03496e-180,511.916
WP_229555182,Nostoc sp. XA010,325,73.3,70.9,96.7,6.44497e-180,511.916
WP_335101646,Nostoc sp.,326,71.9,70.0,97.3,7.62243e-180,511.531
MBW4676489,Desmonostoc geniculatum HA4340-LM1,325,72.8,70.9,97.3,8.0237e-180,511.531
WP_334717538,Nostoc sp.,325,72.5,70.6,97.3,8.29178e-180,511.531
MDF5714872,Rhizonema sp. NSF051,326,73.1,71.2,97.3,9.59408e-180,511.531
WP_334694382,Nostoc sp.,325,72.7,70.3,96.7,1.07853e-179,511.146
WP_104906708,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',325,72.8,70.9,97.3,1.23005e-179,511.146
WP_334927929,Nostoc sp.,325,71.9,70.0,97.3,1.56528e-179,510.76
WP_292846429,Nostoc sp. NMS8,325,72.2,70.3,97.3,1.82473e-179,510.76
WP_190474819,Anabaena azotica,325,71.8,70.3,97.9,1.84483e-179,510.76
WP_335041003,Nostoc sp.,325,72.5,70.6,97.3,2.03599e-179,510.76
WP_461917296,Nostoc sp.,325,72.7,70.3,96.7,2.32202e-179,510.375
WP_334777486,Nostoc sp.,325,71.2,69.7,97.9,3.22548e-179,509.99
WP_334887968,Nostoc sp.,325,72.5,70.6,97.3,3.52091e-179,509.99
WP_017742665,Scytonema hofmannii,330,73.2,70.6,96.4,4.13014e-179,509.99
WP_292780506,unclassified Nostoc,325,72.2,70.3,97.3,4.14972e-179,509.99
WP_334726762,Nostoc sp.,326,71.9,70.0,97.3,4.20994e-179,509.99
WP_335233002,Nostoc sp.,325,71.9,70.0,97.3,4.24164e-179,509.605
WP_335047569,Nostoc sp.,326,71.9,70.0,97.3,4.59553e-179,509.605
MBP5976193,Brasilonema sp. CT11,326,72.2,70.3,97.3,5.01644e-179,509.605
WP_292736183,Nostoc sp. JL31,325,72.4,70.0,96.7,5.2231e-179,509.605
WP_190702528,unclassified Nostoc,326,71.6,69.7,97.3,5.41625e-179,509.605
WP_163927631,unclassified Nostoc,325,72.2,70.3,97.3,5.57793e-179,509.605
WP_334991773,Nostoc sp.,326,71.6,69.7,97.3,6.24519e-179,509.22
WP_335009541,Nostoc sp.,326,71.6,69.7,97.3,8.96484e-179,508.834
ACC80791,Nostoc punctiforme PCC 73102,328,72.5,70.6,97.3,9.53476e-179,508.834
WP_353929460,Okeanomitos corallinicola,326,73.3,70.9,96.7,9.67932e-179,508.834
WP_323232806,Nostoc sp. UHCC 0252,325,72.2,70.3,97.3,1.21411e-178,508.449
WP_335001645,Nostoc sp.,325,71.9,70.0,97.3,1.21411e-178,508.449
WP_041565327,Nostoc punctiforme,325,72.5,70.6,97.3,1.29659e-178,508.449
WP_292720478,unclassified Nostoc,326,71.6,69.7,97.3,1.74883e-178,508.449
WP_198124532,Amazonocrinis nigriterrae,325,71.2,69.1,97.0,2.00956e-178,508.064
WP_229546037,Nostoc sp. CHAB 5836,325,71.9,70.0,97.3,2.09957e-178,508.064
WP_292769912,Nostoc sp. NOS(2021),326,71.6,69.7,97.3,2.17718e-178,508.064
MCP6760186,Fischerella sp. CENA71,325,71.6,69.7,97.3,2.61385e-178,507.679
WP_424094407,Moorena producens,326,69.9,68.5,97.9,2.71046e-178,507.679
WP_334821752,Nostoc sp.,325,71.9,70.0,97.3,2.76101e-178,507.679
WP_482750483,Anabaena sp. TISTR 8404,325,72.8,70.9,97.3,3.01389e-178,507.679
WP_334850177,Nostoc sp.,326,71.6,69.7,97.3,3.30123e-178,507.679
WP_193949839,Nostoc sp. LEGE 12450,325,71.6,69.7,97.3,3.32617e-178,507.679
WP_185581683,unclassified Nostoc,325,71.3,69.4,97.3,4.27922e-178,507.294
WP_323198825,Nostoc sp. UHCC 0251,325,71.9,70.0,97.3,4.67115e-178,507.294
WP_322734670,Nostoc sp. DedQUE12b,325,71.3,69.4,97.3,6.27875e-178,506.908
WP_420761291,Nostoc sp. CALU 546,325,71.9,70.0,97.3,6.48851e-178,506.908
WP_334772589,Nostoc sp.,325,71.9,70.0,97.3,6.9293e-178,506.908
WP_069074220,Nostoc sp. KVJ20,325,71.9,70.0,97.3,7.08279e-178,506.523
WP_073634825,Scytonema sp. HK-05,324,72.0,69.7,96.7,7.2149e-178,506.523
WP_169262875,Brasilonema,326,71.3,69.4,97.3,8.37625e-178,506.523
NEO97833,Symploca sp. SIO2E9,326,70.5,68.2,96.7,9.87209e-178,506.523
WP_334802371,Nostoc sp.,326,71.3,69.4,97.3,1.02019e-177,506.523
WP_334950107,Nostoc sp.,325,71.6,69.7,97.3,1.06225e-177,506.138
WP_293096439,Moorena sp. SIOASIH,326,70.6,69.1,97.9,1.12589e-177,506.138
WP_323233087,Nostoc sp. UHCC 0252,325,71.6,69.7,97.3,1.13441e-177,506.138
WP_273770771,Nostoc sp. UHCC 0926,325,71.6,69.7,97.3,1.15954e-177,506.138
WP_334880396,Nostoc sp.,325,71.9,70.0,97.3,1.15954e-177,506.138
WP_002771814,Microcystis aeruginosa,325,72.4,70.3,97.0,1.29377e-177,506.138
WP_334785366,Nostoc sp.,326,71.6,69.7,97.3,1.32695e-177,506.138
WP_094347208,Nostoc sp. 'Peltigera membranacea cyanobiont' 210A,325,71.6,69.7,97.3,1.35172e-177,506.138
WP_292811056,unclassified Nostoc,325,71.4,69.1,96.7,1.39688e-177,506.138
WP_194006129,aff. Roholtiella sp. LEGE 12411,326,70.8,68.5,96.7,1.4327e-177,506.138
WP_099099191,Nostoc sp. 'Peltigera malacea cyanobiont' DB3992,325,71.6,69.7,97.3,1.45945e-177,505.753
HEY9802771,Leptolyngbyaceae cyanobacterium,325,70.9,69.4,97.9,1.49178e-177,505.753
WP_334722925,Nostoc sp.,325,71.6,69.7,97.3,1.70134e-177,505.753
MBW4428102,Nostoc desertorum CM1-VF14,325,71.6,69.7,97.3,1.85716e-177,505.753
WP_179064391,Nostoc sp. C052,325,71.3,69.4,97.3,1.96172e-177,505.753
QSJ20219,Nostoc sp. UHCC 0702,325,71.5,69.4,97.0,2.11806e-177,505.368
WP_013324781,Gloeothece verrucosa,326,71.2,69.1,97.0,2.29466e-177,505.368
WP_323232511,Nostoc sp. UHCC 0252,325,72.4,70.0,96.7,2.33751e-177,505.368
MCC5655262,Nostoc sp. XA013,325,71.6,69.7,97.3,2.60811e-177,505.368
MBU7585867,Nostoc sp. TH1S01,325,71.7,69.4,96.7,2.75494e-177,505.368
NEO93391,Moorena sp. SIO3G5,326,69.9,68.5,97.9,2.85669e-177,505.368
NEQ88734,Moorena sp. SIO2I5,327,70.2,68.8,97.9,3.09484e-177,504.982
BAY37593,Nostoc sp. NIES-2111,325,71.0,69.1,97.3,3.28268e-177,504.982
WP_334701608,Nostoc sp.,325,72.0,69.7,96.7,3.39235e-177,504.982
MBE8967341,Nostocales cyanobacterium LEGE 12452,325,71.6,69.7,97.3,3.42971e-177,504.982
WP_251957373,Nostoc commune,324,71.9,70.0,97.3,4.59434e-177,504.597
MEH2068931,Nostoc sp.,329,71.9,70.0,97.3,4.62201e-177,504.982
WP_292701049,unclassified Nostoc,325,71.3,69.4,97.3,5.61479e-177,504.597
WP_322648172,Nostoc sp. ChiVER01,325,71.6,69.7,97.3,6.76404e-177,504.212
WP_335159715,Nostoc sp.,325,71.3,69.4,97.3,8.99276e-177,503.827
WP_193920526,Desmonostoc muscorum,325,71.7,69.4,96.7,9.49902e-177,503.827
WP_333132971,unclassified Microcoleus,325,71.3,69.4,97.3,1.15693e-176,503.442
WP_335040929,Nostoc sp.,325,71.6,69.7,97.3,1.18256e-176,503.442
MBX9254026,Desmonostoc muscorum CCALA 125,325,71.7,69.4,96.7,1.30508e-176,503.442
TAE58241,Nostocales cyanobacterium,326,71.4,69.1,96.7,1.64819e-176,503.442
WP_461897556,Nostoc sp.,326,70.7,68.8,97.3,1.66634e-176,503.442
WP_292804297,Nostoc sp. NMS7,325,71.3,69.4,97.3,2.00062e-176,503.056
RCJ32138,Nostoc punctiforme NIES-2108,325,71.7,69.4,96.7,2.02266e-176,503.056
WP_464102982,Annamia dubia,335,76.1,74.8,98.2,2.18515e-176,503.442
WP_067770613,Nostoc sp. NIES-3756,325,71.0,69.1,97.3,2.49062e-176,502.671
MFN6565579,Nostoc sp. ChiSLP01,325,71.2,69.7,97.9,2.71872e-176,502.671
WP_293120314,Moorena sp. SIO4G3,326,69.3,67.9,97.9,3.14539e-176,502.671
TBR56832,Westiellopsis prolifica IICB1,328,72.0,69.7,96.7,4.64612e-176,502.286
WP_322663227,Dendronalium sp. ChiSLP03b,325,70.7,68.8,97.3,5.07596e-176,501.901
MBD2514381,Nostoc sp. FACHB-973,325,71.4,69.1,96.7,5.42077e-176,501.901
